C,SETP.WORLD,DVD_STATIONOWNER,AEMO,PUBLIC,2017/07/08,02:15:04,0000000285202918,,0000000285202674
I,PARTICIPANT_REGISTRATION,STATIONOWNER,1,EFFECTIVEDATE,PARTICIPANTID,STATIONID,VERSIONNO,LASTCHANGED
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/07/01 00:00:00",MACQGEN,HUNTVGT,21,"1999/06/30 15:35:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/07/01 00:00:00",MACQGEN,LIDDELL,21,"1999/06/30 15:35:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/07/01 00:00:00",MACQGEN,TOMAGO,21,"1999/06/30 15:35:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,CALLIDE,1,"1999/09/15 11:32:09"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,FARLEIGH,1,"1999/09/15 11:32:11"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,MACKNADE,1,"1999/09/15 11:32:12"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,MARIAN,1,"1999/09/15 11:32:12"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,PLANECRK,1,"1999/09/15 11:32:12"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,PLEYSTOW,1,"1999/09/15 11:32:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/05/26 00:00:00",COALCO,NORTHP,18,"1999/05/24 10:47:29"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,RCOURSE,1,"1999/09/15 11:32:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,STHJST,1,"1999/09/15 11:32:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,SWANBANK,1,"1999/09/15 11:32:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,CALLIDE,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,FARLEIGH,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,MACKNADE,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,MARIAN,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,PLANECRK,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,PLEYSTOW,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,RCOURSE,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,STHJST,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/16 00:00:00",CSENERGY,SWANBANK,9,"1999/09/17 10:27:24"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,BARCALDN,10,"1999/09/24 09:44:37"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,COLNSV,10,"1999/09/24 09:44:37"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,G/STONE,10,"1999/09/24 09:44:37"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,MSTUART,10,"1999/09/24 09:44:38"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,OAKEY,10,"1999/09/24 09:44:38"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,YABULU,10,"1999/09/24 09:44:38"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,BARCALDN,15,"1999/09/25 14:42:29"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,COLNSV,15,"1999/09/25 14:42:29"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,G/STONE,15,"1999/09/25 14:42:29"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,MSTUART,15,"1999/09/25 14:42:30"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,OAKEY,15,"1999/09/25 14:42:30"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/09/24 00:00:00",QTPTC,YABULU,15,"1999/09/25 14:42:30"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/10/14 00:00:00",ERGON,ERG_AS,16,"1999/10/13 19:08:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/10/14 00:00:00",SOUTHHYD,DARTM,16,"1999/10/13 19:08:30"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/10/14 00:00:00",SOUTHHYD,EILDON,16,"1999/10/13 19:08:30"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/10/14 00:00:00",SOUTHHYD,MCKAY,16,"1999/10/13 19:08:31"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/10/14 00:00:00",SOUTHHYD,WKIEWA,16,"1999/10/13 19:08:31"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/11/05 00:00:00",BORAL,LADBROKE,18,"1999/11/04 16:28:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/11/05 00:00:00",BORAL,ROMA,18,"1999/11/04 16:28:13"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/11/23 00:00:00",BORAL,LADBROKE,31,"1999/11/22 08:24:28"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/11/23 00:00:00",BORAL,ROMA,31,"1999/11/22 08:24:28"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/12/09 00:00:00",COALCO,NORTHP,33,"1999/11/30 09:47:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/12/09 00:00:00",COALCO,OSBORNE,33,"1999/11/30 09:47:17"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/12/09 00:00:00",COALCO,PLAYF,33,"1999/11/30 09:47:17"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1998/10/25 00:00:00",QTPTC,OAKEY,2,"2000/01/21 14:07:52"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"2000/01/14 00:00:00",ERGON,ERG_AS,38,"2000/01/28 09:43:02"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"2000/01/14 00:00:00",ERGON,WGULLY,38,"2000/01/28 09:43:02"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"1999/01/30 00:00:00",BORAL,LADBROKE,8,"2000/02/03 09:55:48"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"2000/02/11 00:00:00",STANWELL,BARRON,40,"2000/02/09 13:02:14"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"2000/02/11 00:00:00",STANWELL,KAREEYA,40,"2000/02/09 13:02:15"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"2000/02/11 00:00:00",STANWELL,MACKAY,40,"2000/02/09 13:02:16"
D,PARTICIPANT_REGISTRATION,STATIONOWNER,1,"2000/02/11 00:00:00",STANWELL,STANWELL,40,"2000/02/09 13:02:16"
